predictor,regulation,v3,v4,gene,is_hub,locus_label,logFC,std_err,adj.P.Val,desc_merged,publication_SAG
-P,Downregulated,GRMZM2G130053,Zm00001d013261,Zm00001eb214780,FALSE,ccp19,-1.95086617223634,0.263512497390428,1.37694987894556e-06,cysteine protease19,TAIR
-P,Downregulated,GRMZM2G179885,Zm00001d021818,Zm00001eb324550,FALSE,nactf132,-4.32840383955001,1.19044400632068,0.00691497263483174,NAC-transcription factor 132,"Zhao2024,Yuan2023"
-P,Downregulated,GRMZM2G134192,Zm00001d040243,Zm00001eb127290,FALSE,NA,-1.57907142709373,0.603207936043835,0.049544042153611,Sugar/inositol transporter,Sekhon2019
-P,Upregulated,GRMZM2G064914,Zm00001d042512,Zm00001eb144680,TRUE,rns,1.87029121227999,0.195129706607982,1.11897576798059e-08,Ribonuclease T(2),Ojeda2026
-P,Upregulated,GRMZM2G173882,Zm00001d007962,Zm00001eb118010,FALSE,glk27,2.03341263144823,0.28518946734684,2.53855863399712e-06,G2-like-transcription factor 27,Zhao2024
-P,Upregulated,GRMZM2G010871,Zm00001d032923,Zm00001eb047760,FALSE,hsftf24,1.5072228426832,0.236649414161235,1.53274236871495e-05,HSF-transcription factor 24,Zhao2024
-P,Upregulated,GRMZM2G127147,Zm00001d037480,Zm00001eb281720,FALSE,aga2,1.53516050524796,0.2447909509664,1.95280716280905e-05,alkaline galactosidase2,Zhao2024
-P,Upregulated,GRMZM2G074236,Zm00001d042750,Zm00001eb146920,FALSE,NA,1.99655241481721,0.318539370772673,1.95606442601261e-05,NA,"TAIR,Zhang2014"
-P,Upregulated,GRMZM2G097989,Zm00001d038192,Zm00001eb288100,FALSE,gst41,2.86787391304461,0.461782244657122,2.24267358116737e-05,glutathione transferase41,Sekhon2019
-P,Upregulated,GRMZM5G803308,Zm00001d046632,Zm00001eb387370,FALSE,myb112,2.30142531852299,0.398610787069894,6.06843814821956e-05,MYB-transcription factor 112,Zhao2024
-P,Upregulated,GRMZM2G102683,Zm00001d023941,Zm00001eb411020,FALSE,NA,5.00400957630084,0.914146973679666,0.000119030794471235,Carbohydrate transporter/ sugar porter,TAIR
-P,Upregulated,GRMZM2G125850,Zm00001d006511,Zm00001eb106160,FALSE,NA,1.55990770776106,0.300998969820902,0.000229602558659725,"Glucose-6-phosphate/phosphate translocator 2, chloroplastic",TAIR
-P,Upregulated,GRMZM2G042278,Zm00001d015201,Zm00001eb231720,FALSE,nlp15,4.90104960010315,0.977669112260894,0.000340381151816141,NLP-transcription factor 15,Zhao2024
-P,Upregulated,GRMZM2G074248,Zm00001d042749,Zm00001eb146910,FALSE,NA,3.85177617338201,0.806002236899608,0.000588623038991501,NA,TAIR
-P,Upregulated,GRMZM2G068973,Zm00001d012527,Zm00001eb369060,FALSE,nactf23,1.74967168339718,0.3867166449795,0.00101973918042081,NAC-transcription factor 23,Zhao2024
-P,Upregulated,GRMZM2G016370,Zm00001d023411,Zm00001eb406660,FALSE,glk5,6.83110669898464,1.57197633046864,0.00151478447701285,G2-like-transcription factor 5,Zhao2024
-P,Upregulated,GRMZM2G002131,Zm00001d005888,Zm00001eb100770,FALSE,hsftf1,1.79565587671142,0.439678422410565,0.00266858585684382,HSF-transcription factor 1,Zhao2024
-P,Upregulated,GRMZM2G125704,Zm00001d002439,Zm00001eb071920,FALSE,glk36,1.53200736539066,0.38065051637956,0.00302486012531252,G2-like-transcription factor 36,Zhao2024
-P,Upregulated,AC234526.1_FG005,Zm00001d020961,Zm00001eb316940,FALSE,NA,2.88648571795983,0.815243958260837,0.00846151867856962,Epimerase domain-containing protein,Zhang2014
-P,Upregulated,GRMZM2G161274,Zm00001d032186,Zm00001eb041390,FALSE,NA,4.15282957642036,1.28829077128269,0.0159749847749395,Ribonuclease T(2),Zhao2024
-P,Upregulated,GRMZM2G038073,Zm00001d017084,Zm00001eb246010,FALSE,nactf13,1.80529195368941,0.584229096468088,0.0208243063927905,NAC-transcription factor 13,Zhao2024
-P,Upregulated,GRMZM2G093951,Zm00001d032620,Zm00001eb044970,FALSE,NA,1.64946676926035,0.540170810287059,0.0222700096369671,Syntaxin-24,Zhao2024
-P,Upregulated,GRMZM2G381378,Zm00001d022437,Zm00001eb330710,FALSE,wrky17,1.59886648083408,0.547552920289542,0.0288816295154478,WRKY-transcription factor 17,Zhao2024
-P,Upregulated,GRMZM2G168744,Zm00001d032501,Zm00001eb043930,FALSE,NA,2.91583593115821,1.00509241335593,0.0299567781903671,Aspergillus nuclease S(1),"TAIR,Zhao2024"
-P,Upregulated,GRMZM2G047456,Zm00001d034129,Zm00001eb058260,FALSE,NA,2.60003836417528,0.899368747716997,0.0304507477243413,Peroxidase,Zhao2024
-P,Upregulated,GRMZM2G048836,Zm00001d037232,Zm00001eb279710,FALSE,NA,1.64614987091099,0.590312409506004,0.0367820939403304,"ATP-dependent zinc metalloprotease FTSH 6, chloroplastic","TAIR,Zhang2014,Zhao2024"
-P,Upregulated,GRMZM2G405094,Zm00001d012255,Zm00001eb366540,FALSE,myb163,1.69828894824777,0.617889249599381,0.0394341683379413,MYB-transcription factor 163,Zhao2024
-P,Upregulated,GRMZM2G065585,Zm00001d042143,Zm00001eb141540,FALSE,geb1,4.15790962218478,1.51980675528754,0.0403516477796984,"glucan endo-1,3-beta-glucosidase homolog1","He2021,Zhao2024"
-P,Upregulated,GRMZM5G833332,Zm00001d048333,Zm00001eb402430,TRUE,csap,3.16777371592618,1.17256877609665,0.0427630441590444,chloroplast-localized senescence-associated protein,Ojeda2026
-P,Upregulated,GRMZM2G123119,Zm00001d019734,Zm00001eb307550,FALSE,ereb177,2.21610985565219,0.841259653591984,0.0480788461196689,AP2-EREBP-transcription factor 177,Zhao2024
